9,0
9,0
9,2
1,1
4,1
1,3
1,4
4,4
1,6
4,6
1,8
1,9
1,10
1,11
4,11
4,12
1,14
1,15
1,16
1,17
1,18
1,19
1,20
1,21
4,21
1,23
1,24
4,38
1,41
4,55
4,56
1,0
0,0
1,9
9,76
9,77
9,78
9,79
9,80
9,81
9,82
9,83
9,84
9,85
1,4
1,5
1,6
1,7
1,8
1,9
1,11
1,13
1,14
1,15
1,16
1,17
1,18
1,19
4,15
4,16
4,19
4,20
4,21
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
9,40
9,41
9,42
9,43
9,44
9,45
4,4
1,22
1,23
1,24
1,25
1,26
1,27
1,28
1,29
9,0
9,0
9,1
9,2
9,3
1,0
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
1,9
1,10
1,11
1,12
1,13
4,1
4,4
4,8
4,9
9,0
9,0
9,1
9,2
9,3
9,4
9,5
9,0
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,13
9,14
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
9,27
9,28
9,29
9,30
9,31
9,32
9,33
4,0
9,34
4,1
9,35
4,2
9,36
4,3
9,37
4,4
9,38
4,5
9,39
4,6
9,40
4,7
9,41
4,8
9,42
4,9
9,43
4,10
9,44
4,11
9,45
4,12
9,46
4,13
9,47
4,14
9,48
4,15
9,49
4,16
9,50
4,17
9,51
4,18
9,52
4,19
9,53
4,20
9,54
4,21
9,55
4,22
9,56
4,23
4,24
4,39
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
